version_family,exact_version,mean_move_ns_per_page,median_move_ns_per_page,stdev,cv,mad_ratio,delta_vs_v7_mean,delta_vs_v7_median,classification,run_count,ok_runs
7.0-preempt,7.0.9,10702.888889,10654.000000,243.539753,0.022755,0.016613,0.000000,0.000000,neutral,9,9
7.0-preempt-foliocopy,7.0.9-foliocopy-attribution,11505.777778,11541.000000,174.565731,0.015172,0.015337,0.075016,0.083255,regression,9,9
