kernel,ftrace_tree,returncode,serial_log,autorun_exit0,trace_unavailable,function_profile_enabled,workload_status,seen_cpu,added_functions,missing_functions
v6.19.9-preempt,linux-v6.19-preempt-fadvise-ftrace-mempolicy,0,/workspace/kernel-study/out/qemu-logs/mempolicy-migrate-ftrace-v6_19_9_preempt-bench-20260604T174006Z.serial.log,True,False,True,1,1,__x64_sys_migrate_pages migrate_pages do_migrate_pages queue_pages_range queue_folios_pte_range queue_pages_test_walk migrate_folio_add migrate_pages_batch move_to_new_folio migrate_folio __folio_migrate_mapping remove_migration_pte remove_migration_ptes alloc_migration_target folio_migrate_flags migrate_folio_done do_pages_stat,__do_sys_migrate_pages kernel_migrate_pages migrate_to_node migrate_folios_move migrate_folio_unmap migrate_folio_move reject:__migrate_folio migrate_hugetlbs kernel_move_pages move_pages
v7.0.9-preempt,linux-v7.0-preempt-fadvise-ftrace-mempolicy,0,/workspace/kernel-study/out/qemu-logs/mempolicy-migrate-ftrace-v7_0_9_preempt-bench-20260604T174105Z.serial.log,True,False,True,1,1,__x64_sys_migrate_pages migrate_pages do_migrate_pages queue_pages_range queue_folios_pte_range queue_pages_test_walk migrate_folio_add migrate_pages_batch move_to_new_folio migrate_folio __folio_migrate_mapping remove_migration_pte remove_migration_ptes alloc_migration_target folio_migrate_flags migrate_folio_done do_pages_stat,__do_sys_migrate_pages kernel_migrate_pages migrate_to_node migrate_folios_move migrate_folio_unmap migrate_folio_move reject:__migrate_folio migrate_hugetlbs kernel_move_pages move_pages
