kernel,ftrace_tree,returncode,serial_log,autorun_exit0,trace_unavailable,function_profile_enabled,workload_status,seen_cpu,added_functions,missing_functions
v6.19.9-preempt,linux-v6.19-preempt-fadvise-ftrace-mempolicy,0,/workspace/kernel-study/out/qemu-logs/mempolicy-migrate-ftrace-v6_19_9_preempt-bench-20260605T162053Z.serial.log,True,False,True,1,1,__x64_sys_migrate_pages migrate_pages do_migrate_pages queue_pages_range queue_folios_pte_range migrate_folio_add migrate_pages_batch move_to_new_folio migrate_folio __folio_migrate_mapping folio_mc_copy copy_mc_to_kernel remove_migration_pte remove_migration_ptes try_to_migrate rmap_walk folio_remove_rmap_ptes migrate_folio_done,kernel_migrate_pages migrate_to_node migrate_folio_move reject:__migrate_folio
v7.0.9-preempt,linux-v7.0-preempt-fadvise-ftrace-mempolicy,0,/workspace/kernel-study/out/qemu-logs/mempolicy-migrate-ftrace-v7_0_9_preempt-bench-20260605T162213Z.serial.log,True,False,True,1,1,__x64_sys_migrate_pages migrate_pages do_migrate_pages queue_pages_range queue_folios_pte_range migrate_folio_add migrate_pages_batch move_to_new_folio migrate_folio __folio_migrate_mapping folio_mc_copy copy_mc_to_kernel remove_migration_pte remove_migration_ptes try_to_migrate rmap_walk folio_remove_rmap_ptes migrate_folio_done,kernel_migrate_pages migrate_to_node migrate_folio_move reject:__migrate_folio
