kernel,round,bytes,pages,old_node,new_node,move_ns,move_ns_per_page,target_pages,other_pages,failed_pages
v6.19.9-preempt,1,16777216,4096,0,1,264016500,64457,4096,0,1
v6.19.9-preempt,2,16777216,4096,0,1,176011000,42971,4096,0,0
v6.19.9-preempt,3,16777216,4096,0,1,176011000,42971,4096,0,0
v7.0.9-preempt,1,16777216,4096,0,1,272017000,66410,4096,0,1
v7.0.9-preempt,2,16777216,4096,0,1,184011500,44924,4096,0,0
v7.0.9-preempt,3,16777216,4096,0,1,180011250,43948,4096,0,0
