version_family,exact_version,scenario,metric,mean,median,cv,classification,stable,robust_stable,semantic_warning,comparison_reliable,run_count,ok_runs,failed_runs
7.0-preempt,7.0.9,migrate_pages_syscall,move_ns_per_page,11067.666667,11097.000000,0.006925,neutral,yes,yes,no,yes,9,9,0
7.0-preempt-nodeferredsplit,7.0.9-nodeferredsplit-attribution,migrate_pages_syscall,move_ns_per_page,10959.222222,10920.000000,0.019032,neutral,yes,yes,no,yes,9,9,0
