profile,source_file,entry_profile,test_kind,version_family,exact_version,subject_kind,subject,function,function_name,function_start_line,total_runs,hit_runs,covered_any,covered_all,mean_hits,max_hits
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,migrate_folio_undo_src@1160,migrate_folio_undo_src,1160,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,migrate_folio_unmap@1203,migrate_folio_unmap,1203,1,1,yes,yes,4109,4109
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,migrate_folios_move@1716,migrate_folios_move,1716,1,1,yes,yes,9,9
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,migrate_folios_undo@1768,migrate_folios_undo,1768,1,1,yes,yes,9,9
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,migrate_huge_page_move_mapping@724,migrate_huge_page_move_mapping,724,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,migrate_hugetlbs@1627,migrate_hugetlbs,1627,1,1,yes,yes,1,1
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,migrate_movable_ops_page@236,migrate_movable_ops_page,236,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,migrate_pages@2089,migrate_pages,2089,1,1,yes,yes,1,1
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,migrate_pages_batch@1800,migrate_pages_batch,1800,1,1,yes,yes,9,9
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,migrate_pages_sync@2012,migrate_pages_sync,2012,1,1,yes,yes,9,9
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,migration_entry_wait@481,migration_entry_wait,481,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,migration_entry_wait_huge@516,migration_entry_wait_huge,516,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,move_pages@2618,move_pages,2618,1,1,yes,yes,1,1
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,move_pages_and_store_status@2318,move_pages_and_store_status,2318,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,move_to_new_folio@1090,move_to_new_folio,1090,1,1,yes,yes,4109,4109
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,page_movable_ops@81,page_movable_ops,81,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,pmd_migration_entry_wait@549,pmd_migration_entry_wait,549,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,putback_movable_ops_page@193,putback_movable_ops_page,193,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,putback_movable_pages@257,putback_movable_pages,257,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,remove_migration_pte@346,remove_migration_pte,346,1,1,yes,yes,4109,4109
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,remove_migration_ptes@455,remove_migration_ptes,455,1,1,yes,yes,4109,4109
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,set_movable_ops@57,set_movable_ops,57,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,store_status@2227,store_status,2227,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,try_split_folio@1580,try_split_folio,1580,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,try_to_map_unused_to_zeropage@298,try_to_map_unused_to_zeropage,298,1,0,no,no,0,0
mempolicy_deepseek_migrate_core_smoke,mm/migrate.c,mempolicy_paths,workload,7.0-preempt,7.0.9,scenario,migrate_pages_syscall,unmap_and_move_huge_page@1469,unmap_and_move_huge_page,1469,1,0,no,no,0,0
