profile,source_file,entry_profile,test_kind,version_family,exact_version,case,scenario,metric,value,status,run_id,failure_reason,results_csv
mprotect_shared_dirty_mm_unstable_check,mm/mprotect.c,mprotect_paths,workload,mm-unstable,7.1.0-rc3-mm-unstable-444fc9435e57,,shared_dirty_full_toggle_64m,cycle_ns_per_page,561.000000,ok,mprotect_shared_dirty_mm_unstable_check_mmreg_mprotect_shared_dirty_mm_unstable_check_vmm-unstable_shared_dirty_full_toggle_64m_r01-bench-20260520T090934Z,,/workspace/kernel-study/out/workload-results/mprotect_shared_dirty_mm_unstable_check_mmreg_mprotect_shared_dirty_mm_unstable_check_vmm-unstable_shared_dirty_full_toggle_64m_r01-bench-20260520T090934Z.results.csv
mprotect_shared_dirty_mm_unstable_check,mm/mprotect.c,mprotect_paths,workload,mm-unstable,7.1.0-rc3-mm-unstable-444fc9435e57,,shared_dirty_full_toggle_64m,protect_ns_per_page,170.000000,ok,mprotect_shared_dirty_mm_unstable_check_mmreg_mprotect_shared_dirty_mm_unstable_check_vmm-unstable_shared_dirty_full_toggle_64m_r01-bench-20260520T090934Z,,/workspace/kernel-study/out/workload-results/mprotect_shared_dirty_mm_unstable_check_mmreg_mprotect_shared_dirty_mm_unstable_check_vmm-unstable_shared_dirty_full_toggle_64m_r01-bench-20260520T090934Z.results.csv
mprotect_shared_dirty_mm_unstable_check,mm/mprotect.c,mprotect_paths,workload,mm-unstable,7.1.0-rc3-mm-unstable-444fc9435e57,,shared_dirty_full_toggle_64m,restore_ns_per_page,187.000000,ok,mprotect_shared_dirty_mm_unstable_check_mmreg_mprotect_shared_dirty_mm_unstable_check_vmm-unstable_shared_dirty_full_toggle_64m_r01-bench-20260520T090934Z,,/workspace/kernel-study/out/workload-results/mprotect_shared_dirty_mm_unstable_check_mmreg_mprotect_shared_dirty_mm_unstable_check_vmm-unstable_shared_dirty_full_toggle_64m_r01-bench-20260520T090934Z.results.csv
mprotect_shared_dirty_mm_unstable_check,mm/mprotect.c,mprotect_paths,workload,6.12,6.12.77,,shared_dirty_full_toggle_64m,cycle_ns_per_page,406.000000,ok,mprotect_shared_dirty_mm_unstable_check_mmreg_mprotect_shared_dirty_mm_unstable_check_v6_12_shared_dirty_full_toggle_64m_r01-bench-20260520T090952Z,,/workspace/kernel-study/out/workload-results/mprotect_shared_dirty_mm_unstable_check_mmreg_mprotect_shared_dirty_mm_unstable_check_v6_12_shared_dirty_full_toggle_64m_r01-bench-20260520T090952Z.results.csv
mprotect_shared_dirty_mm_unstable_check,mm/mprotect.c,mprotect_paths,workload,6.12,6.12.77,,shared_dirty_full_toggle_64m,protect_ns_per_page,73.000000,ok,mprotect_shared_dirty_mm_unstable_check_mmreg_mprotect_shared_dirty_mm_unstable_check_v6_12_shared_dirty_full_toggle_64m_r01-bench-20260520T090952Z,,/workspace/kernel-study/out/workload-results/mprotect_shared_dirty_mm_unstable_check_mmreg_mprotect_shared_dirty_mm_unstable_check_v6_12_shared_dirty_full_toggle_64m_r01-bench-20260520T090952Z.results.csv
mprotect_shared_dirty_mm_unstable_check,mm/mprotect.c,mprotect_paths,workload,6.12,6.12.77,,shared_dirty_full_toggle_64m,restore_ns_per_page,89.000000,ok,mprotect_shared_dirty_mm_unstable_check_mmreg_mprotect_shared_dirty_mm_unstable_check_v6_12_shared_dirty_full_toggle_64m_r01-bench-20260520T090952Z,,/workspace/kernel-study/out/workload-results/mprotect_shared_dirty_mm_unstable_check_mmreg_mprotect_shared_dirty_mm_unstable_check_v6_12_shared_dirty_full_toggle_64m_r01-bench-20260520T090952Z.results.csv
mprotect_shared_dirty_mm_unstable_check,mm/mprotect.c,mprotect_paths,workload,6.19,6.19.9,,shared_dirty_full_toggle_64m,cycle_ns_per_page,577.000000,ok,mprotect_shared_dirty_mm_unstable_check_mmreg_mprotect_shared_dirty_mm_unstable_check_v6_19_shared_dirty_full_toggle_64m_r01-bench-20260520T091010Z,,/workspace/kernel-study/out/workload-results/mprotect_shared_dirty_mm_unstable_check_mmreg_mprotect_shared_dirty_mm_unstable_check_v6_19_shared_dirty_full_toggle_64m_r01-bench-20260520T091010Z.results.csv
mprotect_shared_dirty_mm_unstable_check,mm/mprotect.c,mprotect_paths,workload,6.19,6.19.9,,shared_dirty_full_toggle_64m,protect_ns_per_page,195.000000,ok,mprotect_shared_dirty_mm_unstable_check_mmreg_mprotect_shared_dirty_mm_unstable_check_v6_19_shared_dirty_full_toggle_64m_r01-bench-20260520T091010Z,,/workspace/kernel-study/out/workload-results/mprotect_shared_dirty_mm_unstable_check_mmreg_mprotect_shared_dirty_mm_unstable_check_v6_19_shared_dirty_full_toggle_64m_r01-bench-20260520T091010Z.results.csv
mprotect_shared_dirty_mm_unstable_check,mm/mprotect.c,mprotect_paths,workload,6.19,6.19.9,,shared_dirty_full_toggle_64m,restore_ns_per_page,170.000000,ok,mprotect_shared_dirty_mm_unstable_check_mmreg_mprotect_shared_dirty_mm_unstable_check_v6_19_shared_dirty_full_toggle_64m_r01-bench-20260520T091010Z,,/workspace/kernel-study/out/workload-results/mprotect_shared_dirty_mm_unstable_check_mmreg_mprotect_shared_dirty_mm_unstable_check_v6_19_shared_dirty_full_toggle_64m_r01-bench-20260520T091010Z.results.csv
mprotect_shared_dirty_mm_unstable_check,mm/mprotect.c,mprotect_paths,workload,6.19,6.19.9,,shared_dirty_full_toggle_64m,cycle_ns_per_page,642.000000,ok,mprotect_shared_dirty_mm_unstable_check_mmreg_mprotect_shared_dirty_mm_unstable_check_v6_19_shared_dirty_full_toggle_64m_r02-bench-20260520T091027Z,,/workspace/kernel-study/out/workload-results/mprotect_shared_dirty_mm_unstable_check_mmreg_mprotect_shared_dirty_mm_unstable_check_v6_19_shared_dirty_full_toggle_64m_r02-bench-20260520T091027Z.results.csv
